date,TF,HF,OT
2022/9/9 0:00,0,0,0
2022/9/9 0:10,0,0,0
2022/9/9 0:20,0,0,0
2022/9/9 0:30,0,0,0
2022/9/9 0:40,0,0,0
2022/9/9 0:50,0,0,0
2022/9/9 1:00,0,0,0
2022/9/9 1:10,0,0,0
2022/9/9 1:20,0,0,0
2022/9/9 1:30,0,0,0
2022/9/9 1:40,0,0,0
2022/9/9 1:50,0,0,0
2022/9/9 2:00,0,0,0
2022/9/9 2:10,0,0,0
2022/9/9 2:20,0,0,0
2022/9/9 2:30,0,0,0
2022/9/9 2:40,0,0,0
2022/9/9 2:50,0,0,0
2022/9/9 3:00,0,0,0
2022/9/9 3:10,0,0,0
2022/9/9 3:20,0,0,0
2022/9/9 3:30,0,0,0
2022/9/9 3:40,0,0,0
2022/9/9 3:50,0,0,0
2022/9/9 4:00,0,0,0
2022/9/9 4:10,0,0,0
2022/9/9 4:20,0,0,0
2022/9/9 4:30,0,0,0
2022/9/9 4:40,0,0,0
2022/9/9 4:50,0,0,0
2022/9/9 5:00,0,0,0
2022/9/9 5:10,0,0,0
2022/9/9 5:20,0,0,0
2022/9/9 5:30,0,0,0
2022/9/9 5:40,0,0,0
2022/9/9 5:50,0,0,0
2022/9/9 6:00,0,0,0
2022/9/9 6:10,0,0,0
2022/9/9 6:20,0,0,0
2022/9/9 6:30,0,0,0
2022/9/9 6:40,0,0,0
2022/9/9 6:50,0,0,0
2022/9/9 7:00,0,0,0
2022/9/9 7:10,0,0,0
2022/9/9 7:20,0,0,0
2022/9/9 7:30,0,0,0
2022/9/9 7:40,0,0,0
2022/9/9 7:50,0,0,0
2022/9/9 8:00,28.947525,78.16025,7.922033173
2022/9/9 8:10,28.95265,78.26488333,7.906655577
2022/9/9 8:20,29.16261667,77.86846667,7.949875633
2022/9/9 8:30,29.38805,75.84523333,7.962578555
2022/9/9 8:40,29.672075,75.16215,7.99073659
2022/9/9 8:50,29.28803333,74.879,7.735449865
2022/9/9 9:00,29.79585833,74.70396667,7.948041066
2022/9/9 9:10,29.81050833,73.41778333,7.851350015
2022/9/9 9:20,29.93068333,73.4743,7.959386966
2022/9/9 9:30,29.90309167,73.87926667,6.857473336
2022/9/9 9:40,30.39895833,72.6874,7.966527266
2022/9/9 9:50,30.76226667,70.38231667,7.935521664
2022/9/9 10:00,30.86843333,70.2915,8.007659464
2022/9/9 10:10,30.791475,69.4738,7.83359192
2022/9/9 10:20,30.69938333,69.57121667,7.041296625
2022/9/9 10:30,30.84176667,67.77276667,7.728074907
2022/9/9 10:40,30.71701667,68.42918333,7.792795534
2022/9/9 10:50,30.76495,67.9625,7.732061154
2022/9/9 11:00,30.80310833,66.25571667,7.614536421
2022/9/9 11:10,30.88981667,65.57593333,7.59512464
2022/9/9 11:20,31.15773333,64.76713333,7.631374647
2022/9/9 11:30,31.48239167,63.00933333,7.56224678
2022/9/9 11:40,31.49019167,63.38446667,7.582572422
2022/9/9 11:50,31.5141,62.3019,7.550938064
2022/9/9 12:00,31.678125,61.32581667,6.546201564
2022/9/9 12:10,31.92554167,59.9378,7.418100303
2022/9/9 12:20,32.24489167,57.67971667,7.382530781
2022/9/9 12:30,32.39415,57.5343,7.380368524
2022/9/9 12:40,32.00626667,58.05605,7.277364505
2022/9/9 12:50,31.86158333,58.4233,7.324982299
2022/9/9 13:00,31.97168333,58.94176667,7.341673345
2022/9/9 13:10,32.002225,58.60816667,7.429081213
2022/9/9 13:20,31.994775,57.72215,7.268202332
2022/9/9 13:30,32.24865,56.8129,7.27623639
2022/9/9 13:40,32.48159167,55.54603333,7.225185048
2022/9/9 13:50,32.510125,57.00915,6.512047454
2022/9/9 14:00,32.33134167,57.76613333,7.15681757
2022/9/9 14:10,32.185275,59.63896667,7.366257407
2022/9/9 14:20,32.199475,58.41631667,7.221586323
2022/9/9 14:30,32.22914167,58.03433333,7.270581069
2022/9/9 14:40,32.07245833,58.91868333,7.437150947
2022/9/9 14:50,32.08501667,58.46648333,6.316888008
2022/9/9 15:00,32.06448333,60.86401667,7.399837805
2022/9/9 15:10,31.994575,61.54446667,7.408880314
2022/9/9 15:20,32.00216667,61.039,7.692175046
2022/9/9 15:30,32.02750833,60.0934,6.500310761
2022/9/9 15:40,32.0366,59.72848333,7.424037792
2022/9/9 15:50,32.04866667,59.29068333,7.466713987
2022/9/9 16:00,32.0185,59.56683333,7.416206145
2022/9/9 16:10,31.95111667,58.37511667,7.28114824
2022/9/9 16:20,32.009275,57.36538333,7.251185231
2022/9/9 16:30,31.96156667,57.05988333,7.203405493
2022/9/9 16:40,31.76925,59.1786,7.283074794
2022/9/9 16:50,31.92328333,58.1907,7.286730395
2022/9/9 17:00,31.90049167,58.49728333,7.281713287
2022/9/9 17:10,31.08414167,62.39366667,6.449806123
2022/9/9 17:20,30.52265833,60.96588333,6.723258009
2022/9/9 17:30,29.59235,66.98265,7.081437275
2022/9/9 17:40,29.52838333,67.9966,7.1245793
2022/9/9 17:50,29.018,69.18281667,7.016171456
2022/9/9 18:00,29.149975,67.41985,6.17591253
2022/9/9 18:10,28.54755,73.14323333,6.358258288
2022/9/9 18:20,28.12455833,73.87151667,6.270052211
2022/9/9 18:30,27.94694167,75.12968333,5.4305996
